Crop,Variety,TargetYield_t_ha,Formula_N,Formula_P2O5,Formula_K2O
Turmeric,Takoori Peta,260,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Aarmoor,300,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Selam,320,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Ranga,270,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Rasmi,260,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Roma,280,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Suroma,290,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Rajapuri,300,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Prabha,320,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Prathibha,310,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Aleppi Supreem ,330,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Kedharam,290,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Suguna,300,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Sudharsan,280,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Acc 79,270,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,NDH 79,290,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,NDH 96,300,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Pragathi 48,310,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Rajendra Sonali,320,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Rajendra Sonia,320,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
Turmeric,Kasturi Pasupu,270,1.30*T - 0.58*SN - 0.08*ON,0.45*T - 1.00*SP - 0.10*OP,1.78*T - 1.21*SK - 0.10*OK
